content,time,name,QQ
@21-XDU-我有玉玉症 @21-XDU-我有玉玉症 20%？2%！,2024-06-18 00:07:47, 21-remake-4营0offer,1056813245
98%的offer在2%的人手里,2024-06-18 00:08:11, 21-remake-4营0offer,1056813245
比如库里,2024-06-18 00:08:15, 21-remake-4营0offer,1056813245
@21-xdu-江将 捞捞，菜鸡求分析,2024-06-18 00:08:21, 21-xdu-江将,2368756804
100%的offer在GPU手里,2024-06-18 00:08:30, 21-njust-肉林,2820895028
怎么我就0ffer,2024-06-18 00:08:30, 21-shenzhenU,409185887
,2024-06-18 00:08:33, 21-shenzhenU,409185887
终产者,2024-06-18 00:08:35, 21-njust-肉林,2820895028
6,2024-06-18 00:08:39, 21-XDU-我有玉玉症,2287851528
无敌了,2024-06-18 00:08:41, 21-XDU-我有玉玉症,2287851528
什么那个刘慈欣的小说,2024-06-18 00:08:47, 21-XDU-我有玉玉症,2287851528
@21-XDU-我有玉玉症 @21-XDU-我有玉玉症 是的,2024-06-18 00:08:58, 21-njust-肉林,2820895028
计算机保研 十零定律,2024-06-18 00:09:14, 21-XDU-我有玉玉症,2287851528
11451%的offer在4%人手里,2024-06-18 00:09:14, 21-南京飞升大学-南京开炮大学-吓令营郁推免,1908920796
,2024-06-18 00:09:25, 21-XDU-我有玉玉症,2287851528
夏0营[表情],2024-06-18 00:09:53, 21-tust-不想爆0,2109748511
猜一猜明天会有什么开奖,2024-06-18 00:10:03, 21-二非-零offer,1132484353
生产者：老师，产出offer消费者：库里神这种佬，收获offer分解者：我这种鼠鼠，只能等着捡漏,2024-06-18 00:10:07, 21-remake-4营0offer,1056813245
同济电院开奖了嘛,2024-06-18 00:10:12, 21-su-禁止蕉绿,2067361394
@21-njust-肉林 赡养人类是把,2024-06-18 00:10:16, 21-个别大专-32123432（还没埋）,1622357652
@21-XDU-我有玉玉症 @21-XDU-我有玉玉症 终产者,2024-06-18 00:10:20, 21-非非-:老鼠头:,2194038123
二进制夏令营罢了,2024-06-18 00:10:24, 21-whut-xm,2738687784
@21-remake-offer绝缘体 @21-remake-offer绝缘体 你是天才,2024-06-18 00:10:33, 21-末二-hiver,1935506049
生产者：老师，产出offer消费者：库里神这种佬，收获offer分解者：我这种鼠鼠，只能等着捡漏,2024-06-18 00:10:58, 21-zju-冲刺本校-苏平岚,2530555829
生产者：老师，产出offer消费者：库里神这种佬，收获offer分解者：我这种鼠鼠，只能等着捡漏,2024-06-18 00:11:05, 21-bjtu-珂朵莉,2412162744
生产者：老师，产出offer消费者：库里神这种佬，收获offer分解者：我这种鼠鼠，只能等着捡漏,2024-06-18 00:11:12, 21-gpu-夏0营0ffer选手,3640519889
群友给我留点吧，让我有点参与感,2024-06-18 00:11:14, 21-zju-冲刺本校-苏平岚,2530555829
我开摆了喵,2024-06-18 00:11:21, 21-bjtu-珂朵莉,2412162744
生活就像是一盒巧克力，你永远不知道明天哪个夏令营要开奖你能不能入营,2024-06-18 00:11:31, 21-XDU-我有玉玉症,2287851528
能保比本校好就是胜利！,2024-06-18 00:11:34, 21-zju-冲刺本校-苏平岚,2530555829
入营我已经不关心了,2024-06-18 00:11:43, 21-remake-4营0offer,1056813245
感觉入营离offer差距太大了,2024-06-18 00:11:48, 21-remake-4营0offer,1056813245
现在邮箱响都不敢看,2024-06-18 00:12:01, 21-gpu-夏0营0ffer选手,3640519889
雨雨了喵,2024-06-18 00:12:04, 21-XDU-我有玉玉症,2287851528
 几百年邮箱没响过了,2024-06-18 00:12:13, 21-末二-hiver,1935506049
@21-remake-offer绝缘体 因为您入营没有难度[图片]@21-remake-offer绝缘体,2024-06-18 00:12:15, 21-湖b-耐拒王蜀鼠,923557344
玉玉了,2024-06-18 00:12:16, 21 nju 呜呜呜,3387257974
入营都入不了 还offer呢 ,2024-06-18 00:12:17, 21 lzu ai 夏0营,2655245348
我邮箱都不响,2024-06-18 00:12:18, 21-个别大专-32123432（还没埋）,1622357652
唉,2024-06-18 00:12:22, 21-hnu-信安小辣鸡 （赛博保安室：497301267）,1345690668
fdu不是入营就有offer了,2024-06-18 00:12:27, 21-zju-冲刺本校-苏平岚,2530555829
@21-remake-offer绝缘体 @21-remake-offer绝缘体 确实，但收到入营通知还是多少有一些正向情绪出现的,2024-06-18 00:12:28, 21-二非-零offer,1132484353
连考试都不让我考,2024-06-18 00:12:29, 21-XDU-我有玉玉症,2287851528
草,2024-06-18 00:12:29, 21-uestc-安娜苏,2723980493
邮箱只会有垃圾邮件,2024-06-18 00:12:30, 21-hnu-信安小辣鸡 （赛博保安室：497301267）,1345690668
总会鸽的,2024-06-18 00:12:31, 21-zju-冲刺本校-苏平岚,2530555829
邮箱只会有垃圾邮件,2024-06-18 00:12:37, 21-zju-冲刺本校-苏平岚,2530555829
玩牛魔,2024-06-18 00:12:37, 21-XDU-我有玉玉症,2287851528
剪贴板有奇怪东西,2024-06-18 00:12:38, 21-uestc-安娜苏,2723980493
@21-hnu-信安小辣鸡 （赛博保安室：497301267） @21-hnu-信安小辣鸡 （赛博保安室：497301267） 天天推销邮件,2024-06-18 00:12:39, 21 lzu ai 夏0营,2655245348
然后还不敢看筛选,2024-06-18 00:12:47, 21-hnu-信安小辣鸡 （赛博保安室：497301267）,1345690668
offer什么的，我才不稀罕呢，哼,2024-06-18 00:12:47, 21-bjtu-珂朵莉,2412162744
难绷,2024-06-18 00:12:48, 21-hnu-信安小辣鸡 （赛博保安室：497301267）,1345690668
@21-hnu-信安小辣鸡 （赛博保安室：497301267） 你不是南大offer了嘛,2024-06-18 00:12:48, 21-湖b-耐拒王蜀鼠,923557344
我邮箱除了博彩和赛氪的垃圾广告就没有其他的,2024-06-18 00:12:49, 21-末二-hiver,1935506049
,2024-06-18 00:12:50, 21-XDU-我有玉玉症,2287851528
,2024-06-18 00:12:50, 21-hnu-信安小辣鸡 （赛博保安室：497301267）,1345690668
@21-zju-冲刺本校-苏平岚 @21-zju-冲刺本校-苏平岚 合理的,2024-06-18 00:12:57, 21-gpu-夏0营0ffer选手,3640519889
已经可以不用努力了,2024-06-18 00:12:58, 21-湖b-耐拒王蜀鼠,923557344
绷不住了,2024-06-18 00:12:59, 21-末二-hiver,1935506049
@21-zju-冲刺本校-苏平岚 @21-zju-冲刺本校-苏平岚 如果fdu入了，但是不去参加考核，那是不是连wl都不会在了？,2024-06-18 00:13:00, 21-二非-零offer,1132484353
不过有兴趣的可以看一眼（？,2024-06-18 00:13:06, 21-uestc-安娜苏,2723980493
动物所官网夏令营通知http://ioz.cas.cn/gb2018/jy/zsxx/yxdxsxly/tzgg/202405/t20240514_7161657.html,2024-06-18 00:13:07, 21-uestc-安娜苏,2723980493
那肯定,2024-06-18 00:13:07, 21-zju-冲刺本校-苏平岚,2530555829
（理当不会在把）,2024-06-18 00:13:09, 21-二非-零offer,1132484353
哦哦,2024-06-18 00:13:10, 21-二非-零offer,1132484353
你都鸽了,2024-06-18 00:13:10, 21-zju-冲刺本校-苏平岚,2530555829
我反正现在除了圣经什么都不相信,2024-06-18 00:13:10, 21-gpu-夏0营0ffer选手,3640519889
@21-zju-冲刺本校-苏平岚 @21-zju-冲刺本校-苏平岚 哈哈哈哈,2024-06-18 00:13:14, 21-二非-零offer,1132484353
同赛氪 笑鼠,2024-06-18 00:13:15, 21-su-禁止蕉绿,2067361394
说真的,2024-06-18 00:13:18, 19-nuist-tongji-ki,2944957728
同济入营,2024-06-18 00:13:22, 19-nuist-tongji-ki,2944957728
你们是期待多,2024-06-18 00:13:29, 19-nuist-tongji-ki,2944957728
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 不然的话不去考核也可能拿到offer有点搞笑,2024-06-18 00:13:31, 21-二非-零offer,1132484353
还是感觉会挂了,2024-06-18 00:13:34, 19-nuist-tongji-ki,2944957728
哎，我先下顿了,2024-06-18 00:13:34, 21-XDU-我有玉玉症,2287851528
我期待少,2024-06-18 00:13:35, 21-zju-冲刺本校-苏平岚,2530555829
@21-hfut-原始森林 @21-hfut-原始森林 下午开了的,2024-06-18 00:13:38, 21-双非-密码-凌云,2194820091
@21-uestc-安娜苏 @21-uestc-安娜苏 什么动物朋友,2024-06-18 00:13:39, 21-remake-4营0offer,1056813245
@19-nuist-tongji-ki @19-nuist-tongji-ki 还没报,2024-06-18 00:13:40, 21-gpu-夏0营0ffer选手,3640519889
希望同济让我入营吧,2024-06-18 00:13:40, 21-湖b-耐拒王蜀鼠,923557344
所有夏令营越少越好,2024-06-18 00:13:42, 21-zju-冲刺本校-苏平岚,2530555829
我当时是意外入营的,2024-06-18 00:13:45, 19-nuist-tongji-ki,2944957728
包挂的,2024-06-18 00:13:46, 21-个别大专-32123432（还没埋）,1622357652
@21-remake-offer绝缘体 辅导员给我们发的,2024-06-18 00:13:48, 21-uestc-安娜苏,2723980493
我一心想润东南,2024-06-18 00:13:50, 19-nuist-tongji-ki,2944957728
我报的时候就没想过入,2024-06-18 00:13:52, 21-个别大专-32123432（还没埋）,1622357652
今天刚刚问了几个老师能不能填他们名字,2024-06-18 00:13:53, 21-gpu-夏0营0ffer选手,3640519889
希望同济让我入营吧,2024-06-18 00:13:54, 21-非非-:老鼠头:,2194038123
他还给我们发什么物理学院,2024-06-18 00:13:55, 21-uestc-安娜苏,2723980493
我的预计offer里面 没有同济cs,2024-06-18 00:14:03, 19-nuist-tongji-ki,2944957728
就是不转发那些正经计算机的,2024-06-18 00:14:04, 21-uestc-安娜苏,2723980493
我10%凭什么入,2024-06-18 00:14:04, 21-个别大专-32123432（还没埋）,1622357652
[呵呵],2024-06-18 00:14:06, 21-个别大专-32123432（还没埋）,1622357652
动物所是科研什么,2024-06-18 00:14:12, 21-二非-零offer,1132484353
喜欢小动物,2024-06-18 00:14:15, 21-su-禁止蕉绿,2067361394
@19-nuist-tongji-ki 真是误打误撞来的,2024-06-18 00:14:17, 19-nuist-tongji-ki,2944957728
@21-uestc-安娜苏 @21-uestc-安娜苏 这个计算机本科能报吗,2024-06-18 00:14:17, 21-末二-hiver,1935506049
心动了,2024-06-18 00:14:19, 21-末二-hiver,1935506049
我反正已经看开了不管怎么样我都等928捡漏,2024-06-18 00:14:23, 21-gpu-夏0营0ffer选手,3640519889
别心动,2024-06-18 00:14:26, 21-非非-:老鼠头:,2194038123
@21-二非-零offer 丁真动物学（）,2024-06-18 00:14:27, 21-XDU-我有玉玉症,2287851528
卷不动群友,2024-06-18 00:14:31, 21-末二-hiver,1935506049
@19-nuist-tongji-ki @19-nuist-tongji-ki 东南在附近地域是不是很热门[表情],2024-06-18 00:14:34, 21-ahnu-Cora,2998770189
去找我的动物朋友了,2024-06-18 00:14:37, 21-末二-hiver,1935506049
还真是,2024-06-18 00:14:39, 21-uestc-安娜苏,2723980493
中科院好多所都收写代码的,2024-06-18 00:14:44, 21-非非-:老鼠头:,2194038123
江苏人的梦校,2024-06-18 00:14:47, 21-uestc-安娜苏,2723980493
那我冲了,2024-06-18 00:14:51, 21-末二-hiver,1935506049
它们什么都不能带给你,2024-06-18 00:14:55, 21-非非-:老鼠头:,2194038123
计算机本能不能报文科夏令营[表情],2024-06-18 00:15:02, 21-二非-零offer,1132484353
@19-nuist-tongji-ki @19-nuist-tongji-ki 话说申院长有啥消息吗,2024-06-18 00:15:04, 21-uestc-安娜苏,2723980493
同济让我入营我直接跪谢,2024-06-18 00:15:06, 21-zjdu-sky,986492650
发个邮件问问,2024-06-18 00:15:07, 21-末二-hiver,1935506049
卷不了一点cs,2024-06-18 00:15:13, 21-末二-hiver,1935506049
我在我们院团队名单里又看到他了,2024-06-18 00:15:14, 21-uestc-安娜苏,2723980493
不放实习，没有title，压力拉满,2024-06-18 00:15:15, 21-非非-:老鼠头:,2194038123
http://www.hrbjls.net/html/zsjz.html哈佛的25fall国内招生项目，好像是可以去实习两个月，然后看情况给offer，群u们关注一下,2024-06-18 00:15:16, 21-remake-4营0offer,1056813245
@21-二非-零offer @21-二非-零offer 计算法学,2024-06-18 00:15:18, 21-zju-冲刺本校-苏平岚,2530555829
别去，说真的,2024-06-18 00:15:19, 21-非非-:老鼠头:,2194038123
下学期他甚至还开了课,2024-06-18 00:15:24, 21-uestc-安娜苏,2723980493
金融工程,2024-06-18 00:15:36, 21-zju-冲刺本校-苏平岚,2530555829
还有保研去医学的,2024-06-18 00:15:43, 21-zju-冲刺本校-苏平岚,2530555829
@21-zju-冲刺本校-苏平岚 @21-zju-冲刺本校-苏平岚 报一个去体验体验也挺好,2024-06-18 00:15:45, 21-二非-零offer,1132484353
@21-remake-offer绝缘体 @21-remake-offer绝缘体 这个是出家？,2024-06-18 00:15:46, 21-zjdu-sky,986492650
@21-remake-offer绝缘体 @21-remake-offer绝缘体 我冲了,2024-06-18 00:15:53, 20-ihtwu-yukki,2045314354
人工智能哲学,2024-06-18 00:16:04, 21-zju-冲刺本校-苏平岚,2530555829
计算法学哪些学校有？,2024-06-18 00:16:05, 21-zjdu-sky,986492650
人工智能心理学,2024-06-18 00:16:09, 21-zju-冲刺本校-苏平岚,2530555829
@21-zjdu-sky @21-zjdu-sky 清华和浙大都有来着,2024-06-18 00:16:17, 21-zju-冲刺本校-苏平岚,2530555829
问一下每年都招预推免的院系是代表夏令营一直被鸽穿嘛（,2024-06-18 00:16:21, 21-hit（英才）-轻舟,1657460857
同济包吃包住,2024-06-18 00:16:24, 21-湖b-耐拒王蜀鼠,923557344
@21-hit（英才）-轻舟 @21-hit（英才）-轻舟 不是吧,2024-06-18 00:16:30, 21-zju-冲刺本校-苏平岚,2530555829
比隔壁华师态度好太多了,2024-06-18 00:16:35, 21-湖b-耐拒王蜀鼠,923557344
zju硕士只招预推免,2024-06-18 00:16:36, 21-zju-冲刺本校-苏平岚,2530555829
嗷嗷嗷,2024-06-18 00:16:39, 21-hit（英才）-轻舟,1657460857
@21-zju-冲刺本校-苏平岚 都是够不到的bar@21-zju-冲刺本校-苏平岚 [表情],2024-06-18 00:16:41, 21-zjdu-sky,986492650
入了同济我就不去华师了,2024-06-18 00:16:45, 21-湖b-耐拒王蜀鼠,923557344
独立的,2024-06-18 00:16:50, 21-hit（英才）-轻舟,1657460857
@21-zju-冲刺本校-苏平岚 @21-zju-冲刺本校-苏平岚 所以说，六级不够也能报预推免？,2024-06-18 00:16:57, 21-二非-零offer,1132484353
[图片]难绷，怎么跟cs保研也差不多，还要推荐信,2024-06-18 00:17:10, 21-remake-4营0offer,1056813245
？6,2024-06-18 00:17:20, 21-nju-universe,3485960162
哈佛是吧,2024-06-18 00:17:30, 21-ucas-10%,2496767825
笑崩了,2024-06-18 00:17:34, 21-njust-:橘子:,1015728904
xs,2024-06-18 00:17:38, 21-uestc-安娜苏,2723980493
哈尔滨人现身说法,2024-06-18 00:17:46, 21-hit（英才）-轻舟,1657460857
确实有这个学校,2024-06-18 00:17:48, 21-hit（英才）-轻舟,1657460857
师父推荐,2024-06-18 00:17:55, 21-fwu-计算机睡觉,2040432779
什么bar,2024-06-18 00:17:58, 21-个别大专-32123432（还没埋）,1622357652
bar是一颗舍利子,2024-06-18 00:18:11, 21-remake-4营0offer,1056813245
绷,2024-06-18 00:18:16, 21-njust-:橘子:,1015728904
剃个光头是不是能优先录取,2024-06-18 00:18:20, 21-uestc-安娜苏,2723980493
@21-ucas-10% @21-ucas-10% 哈哈哈哈哈,2024-06-18 00:18:23, 21-二非-零offer,1132484353
舍利子不至于,2024-06-18 00:18:24, 21-末二-hiver,1935506049
@21-remake-offer绝缘体 给师傅金币爆了？,2024-06-18 00:18:28, 21-个别大专-32123432（还没埋）,1622357652
百衲衣送一件,2024-06-18 00:18:35, 21-末二-hiver,1935506049
半夜笑得在床上抖,2024-06-18 00:18:40, 21-su-禁止蕉绿,2067361394
需要住持持经文袈裟推荐,2024-06-18 00:18:46, 21-XDU-我有玉玉症,2287851528
hit和这个哪个bar高,2024-06-18 00:18:53, 21-jlu-o,2262449917
不知道和道教学院那个发展好,2024-06-18 00:18:55, 21-ucas-10%,2496767825
【在道教学院上学的体验！】 https://www.bilibili.com/video/BV1ZL41167Pr/?share_source=copy_web&vd_source=3e381c096d56f87d7910e4f0276f09b8,2024-06-18 00:18:56, 21-ucas-10%,2496767825
bar还挺高的,2024-06-18 00:19:13, 21-hit（英才）-轻舟,1657460857
@21-jlu-o @21-jlu-o 显然 hit 碰瓷不了这个,2024-06-18 00:19:13, 21-XDU-我有玉玉症,2287851528
得出家满一年,2024-06-18 00:19:18, 21-hit（英才）-轻舟,1657460857
面试第一句 阿弥陀佛,2024-06-18 00:19:19, 21-二非-零offer,1132484353
@21-jlu-o @21-jlu-o 感觉还是这个高，hit只要会计算机就行了，这个还要会背古文观止,2024-06-18 00:19:20, 21-remake-4营0offer,1056813245
群友们,2024-06-18 00:19:22, 21-hhu-娇绿,1351258576
北大深信什么bar,2024-06-18 00:19:35, 21-hhu-娇绿,1351258576
是不是211不能指染的,2024-06-18 00:19:52, 21-hhu-娇绿,1351258576
@21-zjdu-sky @21-zjdu-sky 北理好像有,2024-06-18 00:21:04, 21-betau-长按Ctrl键跳过保研剧情,1696887623
好像,2024-06-18 00:21:32, 21-betau-长按Ctrl键跳过保研剧情,1696887623
佬们，hit往年鸽子多不多呀，表现太差了还能进wl吗,2024-06-18 00:22:22, 21-fwu-fw,2257795319
现在很担心[表情],2024-06-18 00:22:49, 21-fwu-fw,2257795319
@21-remake-offer绝缘体 @21-remake-offer绝缘体 几颗舍利子可以入营,2024-06-18 00:23:05, 24-biubiu-群妈妈(小红书关注1048182734),1360052150
全是,2024-06-18 00:23:21, 21-jlu-脆皮菜鸡,205282126
想去哈佛,2024-06-18 00:23:26, 20-ihtwu-yukki,2045314354
@21-remake-offer绝缘体 @21-remake-offer绝缘体 这个句式，差点以为要触发鸣潮公式了,2024-06-18 00:24:50, 21-sbu-传说中的黑龙,291395891
好近,2024-06-18 00:25:02, 21-hit（英才）-轻舟,1657460857
哈佛是这样的，hit只要会计算机就行了，哈佛还要背古文观止,2024-06-18 00:25:13, 21-个别大专-32123432（还没埋）,1622357652
英才的佬[表情],2024-06-18 00:25:22, 21-末二-hiver,1935506049
英才的佬[表情],2024-06-18 00:26:20, 21-uuu-菜,1727950162
哈佛放实习嘛？,2024-06-18 00:26:24, 24-biubiu-群妈妈(小红书关注1048182734),1360052150
好累啊,2024-06-18 00:26:29, 21-ECNU-SFX-耐筛王:鸽:,873892608
复习不完了,2024-06-18 00:26:34, 21-ECNU-SFX-耐筛王:鸽:,873892608
我记得mit和哈佛也挺近的,2024-06-18 00:26:37, 22-XDU-Selen,1834543571
哈佛也开夏令营？,2024-06-18 00:26:41, 21-dut-已读不回,2416515257
笑拉了,2024-06-18 00:26:56," 21-四非::println(""⁧⁧ ;(""",2512752005
@21-xjtu-牛蛙丶丶 @21-xjtu-牛蛙丶丶 编程哥布林直接被淘汰,2024-06-18 00:26:57, 21-末二-hiver,1935506049
这下世界线收束了,2024-06-18 00:26:57, 22-XDU-Selen,1834543571
whu什么bar？,2024-06-18 00:27:06, 21-次九,735661799
学硕的,2024-06-18 00:27:08, 21-次九,735661799
才32个,2024-06-18 00:27:12, 21-个别大专-32123432（还没埋）,1622357652
@24-biubiu-群妈妈(小红书关注1048182734) @24-biubiu-群妈妈(小红书关注1048182734) 哈哈哈,2024-06-18 00:27:14, 21-jlu-脆皮菜鸡,205282126
@21-xjtu-牛蛙丶丶 @21-xjtu-牛蛙丶丶 寄了,2024-06-18 00:27:15, 21-sbu-传说中的黑龙,291395891
蚌,2024-06-18 00:27:16, 21-jlu-脆皮菜鸡,205282126
优营多少人啊,2024-06-18 00:27:19, 21-个别大专-32123432（还没埋）,1622357652
哈佛什么bar,2024-06-18 00:28:00, 21-dut-已读不回,2416515257
[图片]这个是个什么东西,2024-06-18 00:28:08, 21-sduw-企鹅,825900051
有佬知道吗[表情],2024-06-18 00:28:26, 21-sduw-企鹅,825900051
不填就行了吧,2024-06-18 00:28:35, 21-sduw-企鹅,825900051
科？,2024-06-18 00:28:44, 21-九非-0offer本校鼠,1789979647
看重像,2024-06-18 00:29:35, 21-gpu-夏0营0ffer选手,3640519889
科今年有点难套,2024-06-18 00:29:49, 21-gpu-夏0营0ffer选手,3640519889
0/10,2024-06-18 00:29:54, 21-gpu-夏0营0ffer选手,3640519889
gpu都套不到吗,2024-06-18 00:30:05, 21-uestc-安娜苏,2723980493
Oq了,2024-06-18 00:30:07, 21-九非-0offer本校鼠,1789979647
是科,2024-06-18 00:30:08, 21-sduw-企鹅,825900051
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 官回,2024-06-18 00:30:09, 21-双非-啾啾,1743797172
我全是不回,2024-06-18 00:30:15, 21-sduw-企鹅,825900051
